Date,Open,High,Low,Close,Adj Close,Volume
2010-01-26,6.781250,6.863750,6.718750,6.757500,4.910215,10453600
2010-01-27,6.708750,6.842500,6.706250,6.803750,4.943823,12956800
2010-01-28,6.825000,6.827500,6.526250,6.542500,4.753990,22576000
2010-01-29,6.682500,6.702500,6.451250,6.488750,4.714932,19384000
2010-02-01,6.527500,6.613750,6.503750,6.607500,4.801220,9820000
2010-02-02,6.598750,6.637500,6.517500,6.633750,4.820294,9934400
2010-02-03,6.637500,6.677500,6.613750,6.650000,4.832102,13236000
2010-02-04,6.542500,6.575000,6.330000,6.336250,4.604121,19711200
2010-02-05,6.330000,6.395000,6.193750,6.366250,4.625921,21076000
2010-02-08,6.401250,6.483750,6.351250,6.390000,4.643178,14687200
2010-02-09,6.575000,6.700000,6.537500,6.657500,4.837552,20500000
2010-02-10,6.643750,6.700000,6.561250,6.638750,4.823929,13441600
2010-02-11,6.650000,6.788750,6.642500,6.783750,4.929289,14264000
2010-02-12,6.712500,6.787500,6.690000,6.753750,4.907489,15057600
2010-02-16,6.853750,6.941250,6.826250,6.936250,5.040100,11752800
2010-02-17,6.870000,6.925000,6.858750,6.925000,5.031926,11483200
2010-02-18,6.878750,6.990000,6.877500,6.978750,5.070982,11972000
2010-02-19,6.950000,7.026250,6.925000,6.998750,5.085515,12772000
2010-02-22,7.016250,7.041250,6.956250,6.990000,5.079156,9316000
2010-02-23,6.995000,7.036250,6.907500,6.940000,5.042825,10235200
2010-02-24,6.960000,7.071250,6.960000,7.058750,5.129112,10800800
2010-02-25,6.987500,7.100000,6.971250,7.098750,5.158178,12742400
2010-02-26,7.105000,7.122500,7.022500,7.112500,5.168169,10532800
2010-03-01,7.132500,7.313750,7.112500,7.292500,5.298962,12406400
2010-03-02,7.291250,7.450000,7.288750,7.385000,5.366177,14400800
2010-03-03,7.400000,7.435000,7.362500,7.380000,5.362543,10652000
2010-03-04,7.333750,7.333750,7.207500,7.273750,5.285338,17266400
2010-03-05,7.291250,7.446250,7.287500,7.445000,5.409774,11572000
2010-03-08,7.395000,7.500000,7.395000,7.483750,5.437931,9249600
2010-03-09,7.461250,7.498750,7.405000,7.435000,5.402508,14156000
2010-03-10,7.443750,7.500000,7.367500,7.476250,5.432482,9910400
2010-03-11,7.441250,7.496250,7.427500,7.496250,5.447015,8728000
2010-03-12,7.510000,7.510000,7.377500,7.390000,5.369809,11544000
2010-03-15,7.418750,7.462500,7.392500,7.438750,5.405231,12233600
2010-03-16,7.501250,7.521250,7.448750,7.515000,5.460639,7415200
2010-03-17,7.502500,7.687500,7.502500,7.642500,5.553283,14308800
2010-03-18,7.668750,7.737500,7.655000,7.721250,5.610506,13469600
2010-03-19,7.668750,7.723750,7.518750,7.587500,5.513320,12532800
2010-03-22,7.581250,7.712500,7.512500,7.698750,5.594156,10736800
2010-03-23,7.708750,7.796250,7.675000,7.790000,5.660462,7804000
2010-03-24,7.751250,7.787500,7.675000,7.677500,5.578716,8196000
2010-03-25,7.733750,7.768750,7.695000,7.705000,5.598698,9613600
2010-03-26,7.688750,7.705000,7.578750,7.615000,5.533302,9278400
2010-03-29,7.525000,7.572500,7.487500,7.537500,5.476987,10813600
2010-03-30,7.422500,7.508750,7.401250,7.466250,5.425215,15748000
2010-03-31,7.397500,7.443750,7.332500,7.351250,5.341652,13054400
2010-04-01,7.457500,7.523750,7.435000,7.522500,5.466089,15445600
2010-04-05,7.561250,7.667500,7.527500,7.635000,5.547834,8668800
2010-04-06,7.562500,7.681250,7.522500,7.641250,5.552375,9166400
2010-04-07,7.648750,7.678750,7.452500,7.482500,5.437023,11132800
2010-04-08,7.488750,7.553750,7.413750,7.538750,5.477896,10984800
2010-04-09,7.552500,7.621250,7.521250,7.620000,5.536934,7717600
2010-04-12,7.586250,7.712500,7.577500,7.678750,5.579625,17324000
2010-04-13,7.762500,7.966250,7.701250,7.881250,5.726767,40296000
2010-04-14,7.907500,7.921250,7.801250,7.850000,5.704061,16728000
2010-04-15,7.873750,7.887500,7.806250,7.832500,5.691344,12100800
2010-04-16,7.795000,7.811250,7.691250,7.747500,5.629581,23811200
2010-04-19,7.680000,7.761250,7.618750,7.718750,5.608690,11329600
2010-04-20,7.687500,7.787500,7.647500,7.778750,5.652287,11048000
2010-04-21,7.730000,7.735000,7.651250,7.696250,5.592341,9608800
2010-04-22,7.648750,7.790000,7.595000,7.780000,5.653195,9622400
2010-04-23,7.791250,7.802500,7.672500,7.743750,5.626856,8547200
2010-04-26,7.736250,7.828750,7.725000,7.807500,5.673177,12216800
2010-04-27,7.796250,7.800000,7.551250,7.560000,5.493337,11589600
2010-04-28,7.565000,7.620000,7.513750,7.545000,5.482438,11844800
2010-04-29,7.550000,7.657500,7.503750,7.626250,5.541476,8251200
2010-04-30,7.655000,7.655000,7.482500,7.492500,5.444288,12494400
2010-05-03,7.510000,7.620000,7.488750,7.593750,5.517861,9355200
2010-05-04,7.516250,7.542500,7.222500,7.323750,5.321670,22008800
2010-05-05,7.373750,7.378750,7.275000,7.366250,5.352552,16460800
2010-05-06,7.310000,7.348750,6.813750,7.103750,5.161811,18760800
2010-05-07,7.102500,7.177500,6.913750,7.060000,5.130021,21308800
2010-05-10,7.416250,7.513750,7.371250,7.500000,5.449739,15636000
2010-05-11,7.360000,7.500000,7.320000,7.382500,5.364360,14264800
2010-05-12,7.392500,7.453750,7.338750,7.441250,5.407048,14635200
2010-05-13,7.480000,7.542500,7.425000,7.456250,5.417948,10126400
2010-05-14,7.341250,7.341250,7.126250,7.233750,5.256272,14412800
2010-05-17,7.168750,7.258750,7.046250,7.235000,5.257182,12085600
2010-05-18,7.250000,7.340000,7.151250,7.181250,5.218125,14344800
2010-05-19,7.127500,7.226250,7.048750,7.111250,5.167260,11213600
2010-05-20,6.943750,6.996250,6.838750,6.897500,5.011942,17260800
2010-05-21,6.806250,7.058750,6.765000,7.048750,5.121846,12757600
2010-05-24,7.002500,7.046250,6.936250,6.957500,5.055541,9019200
2010-05-25,6.752500,6.948750,6.660000,6.948750,5.049183,15257600
2010-05-26,7.015000,7.116250,6.911250,6.948750,5.080166,11776800
2010-05-27,7.046250,7.240000,7.046250,7.240000,5.293096,12762400
