Date,Close,Open,High,Low,Vol.,Change %
"Sep 12, 1989",73.62,73.62,73.62,73.62,0,0.88%
"Sep 13, 1989",73.01,73.01,73.01,73.01,0,-0.83%
"Sep 14, 1989",72.78,72.78,72.78,72.78,0,-0.32%
"Sep 15, 1989",73.14,73.14,73.14,73.14,0,0.49%
"Sep 18, 1989",73.02,73.02,73.02,73.02,0,-0.16%
"Sep 19, 1989",72.56,72.56,72.56,72.56,0,-0.63%
"Sep 20, 1989",72.81,72.81,72.81,72.81,0,0.34%
"Sep 21, 1989",72.95,72.95,72.95,72.95,0,0.19%
"Sep 22, 1989",73.11,73.11,73.11,73.11,0,0.22%
"Sep 25, 1989",73,73,73,73,0,-0.15%
"Sep 26, 1989",73.29,73.29,73.29,73.29,0,0.40%
"Sep 27, 1989",71.43,71.43,71.43,71.43,0,-2.54%
"Sep 28, 1989",70.72,70.72,70.72,70.72,0,-0.99%
"Sep 29, 1989",70.68,70.68,70.68,70.68,0,-0.06%
"Oct 02, 1989",70.42,70.42,70.42,70.42,0,-0.37%
"Oct 03, 1989",69.44,69.44,69.44,69.44,0,-1.39%
"Oct 04, 1989",70.61,70.61,70.61,70.61,0,1.68%
"Oct 05, 1989",70.9,70.9,70.9,70.9,0,0.41%
"Oct 06, 1989",71.27,71.27,71.27,71.27,0,0.52%
"Oct 09, 1989",72.56,72.56,72.56,72.56,0,1.81%
"Oct 10, 1989",72.32,72.32,72.32,72.32,0,-0.33%
"Oct 11, 1989",71.76,71.76,71.76,71.76,0,-0.77%
"Oct 12, 1989",71.59,71.59,71.59,71.59,0,-0.24%
"Oct 13, 1989",67.12,67.12,67.12,67.12,0,-6.24%
"Oct 16, 1989",68.89,68.89,68.89,68.89,0,2.64%
"Oct 17, 1989",68.56,68.56,68.56,68.56,0,-0.48%
"Oct 18, 1989",68.8,68.8,68.8,68.8,0,0.35%
"Oct 19, 1989",70.35,70.35,70.35,70.35,0,2.25%
"Oct 20, 1989",70.11,70.11,70.11,70.11,0,-0.34%
"Oct 23, 1989",69.41,69.41,69.41,69.41,0,-1.00%
"Oct 24, 1989",69.37,69.37,69.37,69.37,0,-0.06%
"Oct 25, 1989",68.73,68.73,68.73,68.73,0,-0.92%
"Oct 26, 1989",67.4,67.4,67.4,67.4,0,-1.94%
"Oct 27, 1989",66.88,66.88,66.88,66.88,0,-0.77%
"Oct 30, 1989",66.53,66.53,66.53,66.53,0,-0.52%
"Oct 31, 1989",67.58,67.58,67.58,67.58,0,1.58%
"Nov 01, 1989",67.51,67.51,67.51,67.51,0,-0.10%
"Nov 02, 1989",65.48,65.48,65.48,65.48,0,-3.01%
"Nov 03, 1989",65.06,65.06,65.06,65.06,0,-0.64%
"Nov 06, 1989",63.9,63.9,63.9,63.9,0,-1.78%
"Nov 07, 1989",64.76,64.76,64.76,64.76,0,1.35%
"Nov 08, 1989",64.65,64.65,64.65,64.65,0,-0.17%
"Nov 09, 1989",64.82,64.82,64.82,64.82,0,0.26%
"Nov 10, 1989",65.41,65.41,65.41,65.41,0,0.91%
"Nov 13, 1989",65.13,65.13,65.13,65.13,0,-0.43%
"Nov 14, 1989",64.9,64.9,64.9,64.9,0,-0.35%
"Nov 15, 1989",65.1,65.1,65.1,65.1,0,0.31%
"Nov 16, 1989",65.11,65.11,65.11,65.11,0,0.02%
"Nov 17, 1989",66.31,66.31,66.31,66.31,0,1.84%
"Nov 20, 1989",65.98,65.98,65.98,65.98,0,-0.50%
"Nov 21, 1989",66.23,66.23,66.23,66.23,0,0.38%
"Nov 22, 1989",66.75,66.75,66.75,66.75,0,0.79%
"Nov 24, 1989",67.16,67.16,67.16,67.16,0,0.61%
"Nov 27, 1989",66.88,66.88,66.88,66.88,0,-0.42%
"Nov 28, 1989",66.3,66.3,66.3,66.3,0,-0.87%
"Nov 29, 1989",65.84,65.84,65.84,65.84,0,-0.69%
"Nov 30, 1989",66.21,66.21,66.21,66.21,0,0.56%
"Dec 01, 1989",66.31,66.31,66.31,66.31,0,0.15%
"Dec 04, 1989",67.34,67.34,67.34,67.34,0,1.55%
"Dec 05, 1989",67.19,67.19,67.19,67.19,0,-0.22%
"Dec 06, 1989",66.58,66.58,66.58,66.58,0,-0.91%
"Dec 07, 1989",66.28,66.28,66.28,66.28,0,-0.45%
"Dec 08, 1989",65.71,65.71,65.71,65.71,0,-0.86%
"Dec 11, 1989",64.83,64.83,64.83,64.83,0,-1.34%
"Dec 12, 1989",64.92,64.92,64.92,64.92,0,0.14%
"Dec 13, 1989",64.48,64.48,64.48,64.48,0,-0.68%
"Dec 14, 1989",63.88,63.88,63.88,63.88,0,-0.93%
"Dec 15, 1989",63.6,63.6,63.6,63.6,0,-0.44%
"Dec 18, 1989",62.85,62.85,62.85,62.85,0,-1.18%
"Dec 19, 1989",63.66,63.66,63.66,63.66,0,1.29%
"Dec 20, 1989",63.76,63.76,63.76,63.76,0,0.16%
"Dec 21, 1989",64.23,64.23,64.23,64.23,0,0.74%
"Dec 22, 1989",64.59,64.59,64.59,64.59,0,0.56%
"Dec 26, 1989",64.21,64.21,64.21,64.21,0,-0.59%
"Dec 27, 1989",64.56,64.56,64.56,64.56,0,0.55%
"Dec 28, 1989",64.3,64.3,64.3,64.3,0,-0.40%
"Dec 29, 1989",64.79,64.79,64.79,64.79,0,0.76%
"Jan 02, 1990",67.24,67.24,67.24,67.24,0,3.78%
"Jan 03, 1990",67.38,67.38,67.38,67.38,0,0.21%
"Jan 04, 1990",67.73,67.73,67.73,67.73,0,0.52%
"Jan 05, 1990",67.36,67.36,67.36,67.36,0,-0.55%
"Jan 08, 1990",67.85,67.85,67.85,67.85,0,0.73%
"Jan 09, 1990",67.28,67.28,67.28,67.28,0,-0.84%
"Jan 10, 1990",66.66,66.66,66.66,66.66,0,-0.92%
"Jan 11, 1990",66.89,66.89,66.89,66.89,0,0.35%
"Jan 12, 1990",65.35,65.35,65.35,65.35,0,-2.30%
"Jan 15, 1990",65.27,65.27,65.27,65.27,0,-0.12%
"Jan 16, 1990",67.14,67.14,67.14,67.14,0,2.87%
"Jan 17, 1990",66.34,66.34,66.34,66.34,0,-1.19%
"Jan 18, 1990",65.98,65.98,65.98,65.98,0,-0.54%
"Jan 19, 1990",65.55,65.55,65.55,65.55,0,-0.65%
"Jan 22, 1990",64.19,64.19,64.19,64.19,0,-2.07%
