Date,Open,High,Low,Close,Adj Close,Volume
2007-02-01,14124.360352,14723.879883,12800.910156,12938.089844,12938.089844,325600
2007-03-01,13013.740234,13386.950195,12316.099609,13072.099609,13072.099609,374800
2007-04-01,12811.929688,14383.719727,12425.519531,13872.370117,13872.370117,352800
2007-05-01,13987.769531,14576.370117,13562.950195,14544.459961,14544.459961,309800
2007-06-01,14610.280273,14683.360352,13946.990234,14650.509766,14650.509766,289800
2007-07-01,14685.160156,15868.849609,14638.879883,15550.990234,15550.990234,389200
2007-08-01,15344.019531,15542.400391,13779.879883,15318.599609,15318.599609,353200
2007-09-01,15401.990234,17361.470703,15323.049805,17291.099609,17291.099609,389400
2007-10-01,17356.990234,20238.160156,17144.580078,19837.990234,19837.990234,641000
2007-11-01,20130.230469,20204.210938,18182.830078,19363.189453,19363.189453,353000
2007-12-01,19547.089844,20498.109375,18886.400391,20286.990234,20286.990234,252800
2008-01-01,20393.099609,21206.769531,15332.419922,17648.710938,17648.710938,454600
2008-02-01,17820.669922,18895.339844,16457.740234,17578.720703,17578.720703,326000
2008-03-01,17227.560547,17227.560547,14677.240234,15644.440430,15644.440430,444400
2008-04-01,15771.719727,17480.740234,15297.959961,17287.310547,17287.310547,397300
2008-05-01,17560.150391,17735.699219,16196.019531,16415.570313,16415.570313,384600
2008-06-01,16591.460938,16632.720703,13405.540039,13461.599609,13461.599609,489200
2008-07-01,13480.019531,15130.089844,12514.990234,14355.750000,14355.750000,670000
2008-08-01,14064.259766,15579.780273,14002.429688,14564.530273,14564.530273,472400
2008-09-01,14412.990234,15107.009766,12153.549805,12860.429688,12860.429688,629100
2008-10-01,13006.719727,13203.860352,7697.390137,9788.059570,9788.059570,872000
2008-11-01,10209.370117,10945.410156,8316.389648,9092.719727,9092.719727,836800
2008-12-01,9162.940430,10188.540039,8467.429688,9647.309570,9647.309570,1119400
2009-01-01,9973.059570,10469.719727,8631.599609,9424.240234,9424.240234,1120000
2009-02-01,9363.580078,9724.870117,8619.219727,8891.610352,8891.610352,653600
2009-03-01,8762.879883,10127.089844,8047.169922,9708.500000,9708.500000,867600
2009-04-01,9745.769531,11492.099609,9546.290039,11403.250000,11403.250000,860000
2009-05-01,11635.240234,14930.540039,11621.299805,14625.250000,14625.250000,1050000
2009-06-01,14790.889648,15600.299805,14016.950195,14493.839844,14493.839844,851800
2009-07-01,14493.839844,15732.809570,13219.990234,15670.309570,15670.309570,801000
2009-08-01,15694.780273,16002.459961,14684.450195,15666.639648,15666.639648,599200
2009-09-01,15691.269531,17142.519531,15356.719727,17126.839844,17126.839844,550400
2009-10-01,17186.199219,17457.259766,15805.200195,15896.280273,15896.280273,561600
2009-11-01,15838.629883,17290.480469,15330.559570,16926.220703,16926.220703,478000
2009-12-01,16947.460938,17530.939453,16577.779297,17464.810547,17464.810547,399600
2010-01-01,17473.449219,17790.330078,15982.080078,16357.959961,16357.959961,391200
