Date,Open,High,Low,Close,Adj Close,Volume
2010-02-01,16339.320313,16669.250000,15651.990234,16429.550781,16429.550781,351400
2010-03-01,16438.449219,17793.009766,16438.449219,17527.769531,17527.769531,368400
2010-04-01,17555.039063,18047.859375,17276.800781,17558.710938,17558.710938,259800
2010-05-01,17536.859375,17536.859375,15960.150391,16944.630859,16944.630859,398600
2010-06-01,16942.820313,17919.619141,16318.389648,17700.900391,17700.900391,500200
2010-07-01,17679.339844,18237.560547,17395.580078,17868.289063,17868.289063,330600
2010-08-01,17911.310547,18475.269531,17819.990234,17971.119141,17971.119141,311600
2010-09-01,18027.119141,20267.980469,18027.119141,20069.119141,20069.119141,334800
2010-10-01,20094.099609,20854.550781,19768.960938,20032.339844,20032.339844,288400
2010-11-01,20272.490234,21108.640625,18954.820313,19521.250000,19521.250000,289800
2010-12-01,19529.990234,20552.029297,19074.570313,20509.089844,20509.089844,291800
2011-01-01,20621.609375,20664.800781,18038.480469,18327.759766,18327.759766,312600
2011-02-01,18425.179688,18690.970703,17295.619141,17823.400391,17823.400391,434400
2011-03-01,17982.279297,19575.160156,17792.169922,19445.220703,19445.220703,375000
2011-04-01,19463.109375,19811.140625,18976.189453,19135.960938,19135.960938,231000
2011-05-01,19224.050781,19253.869141,17786.130859,18503.279297,18503.279297,287200
2011-06-01,18527.119141,18873.390625,17314.380859,18845.869141,18845.869141,269800
2011-07-01,18974.960938,19131.699219,18131.859375,18197.199219,18197.199219,249600
2011-08-01,18352.230469,18440.070313,15765.530273,16676.750000,16676.750000,295600
2011-09-01,16963.669922,17211.800781,15801.009766,16453.759766,16453.759766,334200
2011-10-01,16255.969727,17908.130859,15745.429688,17705.009766,17705.009766,308200
2011-11-01,17540.550781,17702.259766,15478.690430,16123.459961,16123.459961,351600
2011-12-01,16555.929688,17003.710938,15135.860352,15454.919922,15454.919922,370800
2012-01-01,15534.669922,17258.970703,15358.019531,17193.550781,17193.550781,350600
2012-02-01,17179.640625,18523.779297,17061.550781,17752.679688,17752.679688,431400
2012-03-01,17714.619141,18040.689453,16920.609375,17404.199219,17404.199219,335200
2012-04-01,17429.960938,17664.099609,17010.160156,17318.810547,17318.810547,212800
2012-05-01,17370.929688,17432.330078,15809.709961,16218.530273,16218.530273,249800
2012-06-01,16217.480469,17448.480469,15748.980469,17429.980469,17429.980469,219600
2012-07-01,17438.679688,17631.189453,16598.480469,17236.179688,17236.179688,210200
2012-08-01,17244.439453,17972.539063,17026.970703,17380.750000,17380.750000,213400
2012-09-01,17465.599609,18869.939453,17250.800781,18762.740234,18762.740234,214200
2012-10-01,18784.640625,19137.289063,18393.419922,18505.380859,18505.380859,200600
2012-11-01,18487.900391,19372.699219,18255.689453,19339.900391,19339.900391,163000
2012-12-01,19342.830078,19612.179688,19149.029297,19426.710938,19426.710938,175200
2013-01-01,19693.300781,20203.660156,19596.380859,19894.980469,19894.980469,205600
2013-02-01,19907.210938,19966.689453,18793.970703,18861.539063,18861.539063,179800
2013-03-01,18876.679688,19754.660156,18568.429688,18835.769531,18835.769531,194000
2013-04-01,18890.810547,19622.679688,18144.220703,19504.179688,19504.179688,183800
2013-05-01,19459.330078,20443.619141,19451.259766,19760.300781,19760.300781,198000
2013-06-01,19859.220703,19860.189453,18467.160156,19395.810547,19395.810547,197600
2013-07-01,19352.480469,20351.060547,19126.820313,19345.699219,19345.699219,214900
2013-08-01,19443.289063,19569.199219,17448.710938,18619.720703,18619.720703,304800
2013-09-01,18691.830078,20739.689453,18166.169922,19379.769531,19379.769531,264600
2013-10-01,19452.050781,21205.439453,19264.720703,21164.519531,21164.519531,235400
2013-11-01,21158.810547,21293.880859,20137.669922,20791.929688,20791.929688,193300
2013-12-01,20771.269531,21483.740234,20568.699219,21170.679688,21170.679688,198500
2014-01-01,21222.189453,21409.660156,20343.779297,20513.849609,20513.849609,204900
2014-02-01,20479.029297,21140.509766,19963.119141,21120.119141,21120.119141,166300
2014-03-01,21079.269531,22467.210938,20920.980469,22386.269531,22386.269531,365900
2014-04-01,22455.230469,22939.310547,22197.509766,22417.800781,22417.800781,155700
2014-05-01,22493.589844,25375.630859,22277.039063,24217.339844,24217.339844,321700
2014-06-01,24368.960938,25735.869141,24270.199219,25413.779297,25413.779297,271700
2014-07-01,25469.939453,26300.169922,24892.000000,25894.970703,25894.970703,232000
2014-08-01,25753.919922,26674.380859,25232.820313,26638.109375,26638.109375,156800
2014-09-01,26733.179688,27354.990234,26220.490234,26630.509766,26630.509766,178100
2014-10-01,26681.470703,27894.320313,25910.769531,27865.830078,27865.830078,147200
2014-11-01,27943.039063,28822.369141,27739.560547,28693.990234,28693.990234,164500
2014-12-01,28748.220703,28809.640625,26469.419922,27499.419922,27499.419922,199600
2015-01-01,27521.279297,29844.160156,26776.119141,29182.949219,29182.949219,227900
2015-02-01,29143.630859,29522.859375,28044.490234,29220.119141,29220.119141,245200
2015-03-01,29533.419922,30024.740234,27248.449219,27957.490234,27957.490234,256500
2015-04-01,27954.859375,29094.609375,26897.539063,27011.310547,27011.310547,218100
