degree,gamma,C,training recall,test recall,training precision,test_precision,training F1,test F1,training acc,test acc
2,0.1,0.1,0.6752280613209851,0.47608559279395013,0.7077457195860023,0.602398741658974,0.6862362867305976,0.5137945734065476,0.6527646129541865,0.5018197263703836
2,0.2,0.001,0.6410952305295539,0.5697983792171094,0.6364067821234103,0.6196192023736551,0.5813797850977286,0.5331521271501575,0.5734597156398105,0.5320888849146026
2,0.3,0.001,0.5832864138640679,0.5093990326832071,0.6513086574647019,0.6330314569416953,0.5554206231084055,0.48109009126987684,0.5734597156398105,0.5235178395779307
2,0.4,0.01,0.6253176995818118,0.43026952083315456,0.6913807175766856,0.6052472859522966,0.6420223186017819,0.46998037596161507,0.6243285939968405,0.4867030313869266
2,0.5,0.01,0.6316359125755385,0.43427275949231026,0.6926902680776028,0.6051234150534723,0.6472666516678035,0.4762392422606368,0.627172195892575,0.49048108736475005
2,0.6,0.01,0.6468433425736826,0.4420846558021731,0.6994178040750256,0.6067018130384467,0.6610795620185078,0.48647127560620973,0.636650868878357,0.4942546722704105
2,0.7,0.0001,0.7058529043950477,0.6845636294725699,0.6197602087891274,0.6330422826847363,0.5955016826917469,0.586174185641895,0.570300157977883,0.5472324063310381
2,0.8,0.0001,0.6747725217840703,0.6469510168599573,0.641743909322227,0.679685719738299,0.5573568418653169,0.5400959250358165,0.5639810426540285,0.5415765000447108
2,0.9,0.0001,0.6556519957408312,0.6187855918195322,0.6707140732755198,0.6914296458238167,0.5409605475663828,0.516339267273609,0.563349131121643,0.5406241616739694
3,0.1,0.0001,0.7068329984728648,0.5856161173327528,0.6645460344863366,0.6285168388761532,0.662599867466702,0.5845603544966721,0.6211690363349132,0.5556693195028168
3,0.2,1e-05,0.5314233664935071,0.5337902572817452,0.6447655655079938,0.6321861816344574,0.5106791699062325,0.5172501251935799,0.5494470774091628,0.5546677993382814
3,0.3,0.0001,0.5768669794572737,0.47338997586370174,0.7286569621434864,0.6437172419471774,0.6093676534953725,0.5150326057348817,0.6202211690363348,0.536761155325047
3,0.4,0.0001,0.6157460013204424,0.4808103645490271,0.7157331849819305,0.6431817457511256,0.6391629275849657,0.5248355688794316,0.6328593996840443,0.5348698918000536
3,0.5,0.0001,0.670436682815942,0.49945940410803286,0.709791203418716,0.638348384400907,0.6681354932249655,0.5378806386956306,0.6486571879936809,0.5320397031208084
3,0.6,0.0001,0.6770157526356334,0.5021648211507483,0.713349073023252,0.6426699732188318,0.673236218247834,0.5396049596319323,0.6515007898894154,0.5348922471608691
3,0.7,1.0,0.9650030971056207,0.5400932587150374,0.9799887191552834,0.6092062210875688,0.9723592535534445,0.5673396073700976,0.9680884676145339,0.5198068496825539
3,0.8,1e-05,0.7130610285760153,0.6036978554433745,0.6668304839979768,0.6276494593648795,0.6628528561957212,0.5921837358328991,0.6221169036334914,0.5603952427792184
3,0.9,1e-05,0.7130897485541909,0.5949013274664728,0.6624351290163167,0.6231790238149993,0.6647626021245512,0.5874323109418677,0.6211690363349132,0.5547169811320755
4,0.1,0.01,0.8819551535095365,0.4715873140674286,0.9045541581719242,0.6449856321839081,0.8902278538797115,0.5428578058952349,0.8748815165876778,0.5340025038004114
4,0.2,10.0,1.0,0.5034339720584502,1.0,0.6187250886547208,1.0,0.5519040785380656,1.0,0.5217428239291783
4,0.3,0.1,0.9871055556134735,0.5273419059120361,0.9857231933214516,0.6234477587466524,0.9862864134652269,0.5667250069398194,0.9838862559241706,0.5292989358848251
4,0.4,0.1,0.9877302780413049,0.5314456720946067,0.9888799650218584,0.6301360936192397,0.9881986637059074,0.5717552633192986,0.9860979462875198,0.5349816686041313
4,0.5,0.1,0.9899998957475422,0.5174598786961118,0.9909456257206749,0.6258995075227272,0.990409103935493,0.5624165080230731,0.9886255924170616,0.5293257623178038
4,0.6,0.1,0.9910814107442583,0.5219404158458111,0.99191048906837,0.6262457496649574,0.9914374450331108,0.5660638778204664,0.9898894154818325,0.5321514799248861
4,0.7,0.001,0.8630250908517768,0.4583413241213594,0.8923668461338815,0.6394056120738023,0.8733366889284637,0.5305163704327747,0.8565560821484992,0.5245461861754449
4,0.8,0.001,0.8688232732008119,0.46330046487466225,0.8944461319301581,0.6422918127521376,0.8779194375268652,0.5355288891018144,0.8612954186413901,0.5283197710811053
4,0.9,0.001,0.8789819208586905,0.4727338818308441,0.9009499059206998,0.6443182497909732,0.8867846140120813,0.5429693036741172,0.8710900473933648,0.5330456943575069
5,0.1,1e-08,0.5797111556368536,0.5787929302796673,0.7039627251243825,0.6662141526126792,0.5061345497629479,0.5031681432767593,0.541864139020537,0.5283063578646159
5,0.2,1e-07,0.5169151020781311,0.46624353167759447,0.7540921852992188,0.6348915626856805,0.508995295597163,0.46441281065516293,0.5775671406003159,0.5480595546812126
5,0.3,1e-07,0.5308991992775216,0.4596982840708546,0.7567241722318236,0.6467842831931901,0.5278444032638546,0.46145382642684546,0.5873617693522907,0.5461638200840561
5,0.4,1e-08,0.32298929511221397,0.2956740872165217,0.7683062970026608,0.6343840579710145,0.3590677946226837,0.33110022952232343,0.5279620853080569,0.5084369131717786
5,0.5,1e-08,0.36909013782126965,0.3299991459709283,0.7551284376806671,0.6643416892081215,0.4225459620562604,0.38725204172337024,0.5510268562401264,0.5291871590807476
5,0.6,1e-07,0.5849551333656419,0.4812966933244791,0.7418693441364865,0.6304780636509905,0.5805135788448033,0.488596009150941,0.6088467614533966,0.5414468389519808
5,0.7,1e-08,0.4914131807427906,0.4591130320488044,0.7338604442942901,0.634666725715319,0.46917944727861693,0.4471320874268098,0.5576619273301737,0.5414468389519806
5,0.8,1e-08,0.4902754643073532,0.4589579605893851,0.7337877372257633,0.6440846106907813,0.4679253406466793,0.4474370436291604,0.5570300157977883,0.5442859697755521
5,0.9,1e-08,0.49081951905500076,0.45712643006220244,0.7393234992258233,0.6480568360554212,0.46854225554360535,0.4445237332684885,0.557345971563981,0.5442859697755522
6,0.1,1e-05,0.7676216886415024,0.37582656096261047,0.8917239957788892,0.6446335799276975,0.8032080796600353,0.45937938862940425,0.7968404423380727,0.5084547974604311
6,0.2,1.0,1.0,0.5478950322196435,1.0,0.6102116075587197,1.0,0.5760264568360027,1.0,0.5349056603773585
6,0.3,1.0,1.0,0.5496044339290452,1.0,0.6101038738149722,1.0,0.5768510445421497,1.0,0.5349056603773585
6,0.4,1.0,1.0,0.5513138356384469,1.0,0.6118430042497548,1.0,0.5785751824731842,1.0,0.5368013949745148
6,0.5,1.0,1.0,0.5478950322196435,1.0,0.6057118325474703,1.0,0.5738062903235143,1.0,0.5301663238844674
6,0.6,1e-06,0.7443927838988633,0.36391350869629735,0.8813750359601429,0.6329883303353873,0.7803803878190582,0.44473777015640303,0.7769352290679304,0.5037199320397031
6,0.7,1e-06,0.7478859264281416,0.3710796035118487,0.8832593464721035,0.6396077534322931,0.7844491387538876,0.4528998858089013,0.7807266982622434,0.5065545917911115
6,0.8,1e-06,0.757286746601579,0.3676594949799852,0.886979829037374,0.6326313558605724,0.7935328320432707,0.44984902157647433,0.7879936808846761,0.5027765358132881
6,0.9,1e-06,0.7636206140362762,0.378475567585127,0.8881381858660913,0.6479502492821028,0.7989755057538659,0.46203302050499345,0.7927330173775671,0.5112849861396762
7,0.1,1e-06,0.831432855997401,0.4197662323431651,0.8882917295096974,0.624098509671532,0.8449992479898685,0.48875881532288534,0.8293838862559243,0.5008226772780112
7,0.2,1e-10,0.49649111646001104,0.43927356205681856,0.8081527986980441,0.6470976418054109,0.4758985220429219,0.4168615531251351,0.5706161137440758,0.5471161584547974
7,0.3,1e-05,0.9377722045027272,0.5075006113183662,0.9398166619413321,0.6179294871794873,0.9346753909258965,0.545751798418144,0.9244865718799368,0.5131851918089958
7,0.4,1e-05,0.9455903324136437,0.5076821975869089,0.9452386115950052,0.6142809878606499,0.9419395757492339,0.5467480677244982,0.9327014218009477,0.5131807207368327
7,0.5,1e-05,0.9501295678261183,0.5024008298024818,0.9473692817184631,0.6131766562046506,0.9457117074196297,0.5439012870531996,0.9368088467614534,0.5122283823660914
7,0.6,1e-05,0.9523911372426174,0.5015075990753539,0.9499117709256752,0.6102224677465264,0.9484305372273842,0.5427193498471894,0.9399684044233808,0.5103371188410982
