Date,Open,High,Low,Close,Volume
2016-08-29,56.3,57.09,56.0,56.28,54574
2016-08-30,56.12,57.0,56.12,56.42,66407
2016-08-31,56.22,56.35,55.64,55.91,110342
2016-09-01,55.76,56.44,55.42,56.09,123725
2016-09-02,56.22,56.97,55.54,56.27,175632
2016-09-06,56.32,56.51,55.52,56.04,129794
2016-09-07,55.64,57.18,55.54,56.78,119268
2016-09-08,56.63,57.16,56.02,56.41,131245
2016-09-09,55.85,56.14,55.46,55.64,164295
2016-09-12,55.35,56.73,55.05,56.23,170143
2016-09-13,56.61,56.86,55.24,55.78,82958
2016-09-14,55.74,56.67,55.51,56.31,128402
2016-09-15,56.59,58.77,56.59,58.07,137823
2016-09-16,58.14,58.2,57.64,57.99,110094
2016-09-19,58.28,59.02,57.92,58.4,50440
2016-09-20,58.94,59.54,58.02,58.8,51114
2016-09-21,59.21,60.16,58.95,60.12,66079
2016-09-22,60.16,61.12,60.08,61.12,94538
2016-09-23,60.76,61.05,59.9,60.76,97033
2016-09-26,60.21,60.98,60.21,60.38,89257
2016-09-27,60.24,60.78,59.22,60.68,108565
2016-09-28,61.0,61.13,60.26,60.82,107985
2016-09-29,60.54,60.54,59.73,59.99,69466
2016-09-30,60.42,61.51,59.86,61.08,97127
2016-10-03,60.85,62.06,60.67,61.33,67519
2016-10-04,61.34,61.75,59.38,59.51,130663
2016-10-05,59.96,60.29,59.52,59.74,66323
2016-10-06,59.65,61.38,59.13,61.15,111905
2016-10-07,61.06,61.4,59.16,59.65,68921
2016-10-10,60.01,60.66,59.62,60.56,72312
2016-10-11,60.39,60.8,59.2,59.51,65987
2016-10-12,59.41,59.41,57.32,57.54,186869
2016-10-13,56.95,57.35,56.0,56.23,172855
2016-10-14,56.53,57.38,55.64,55.72,148749
2016-10-17,55.72,56.64,55.45,56.44,148875
2016-10-18,57.13,57.81,56.51,57.2,54671
2016-10-19,57.46,57.46,56.35,56.74,75893
2016-10-20,56.42,56.95,56.18,56.23,89559
2016-10-21,55.67,55.91,55.28,55.71,87386
2016-10-24,56.08,57.11,55.34,55.76,134569
2016-10-25,55.41,56.33,54.59,54.59,149316
2016-10-26,54.36,55.17,54.35,54.65,168189
2016-10-27,54.98,54.98,51.98,52.15,214917
2016-10-28,52.13,55.64,52.13,53.48,171721
2016-10-31,53.97,54.5,52.7,54.43,107760
2016-11-01,54.63,55.37,53.82,54.94,119229
2016-11-02,54.96,56.24,54.34,56.17,255414
2016-11-03,59.12,65.32,59.0,64.02,624613
2016-11-04,64.99,69.21,64.19,67.57,311342
2016-11-07,68.77,69.95,67.44,69.25,266809
2016-11-08,69.05,69.72,67.01,69.18,164751
2016-11-09,68.47,72.17,67.88,71.84,151525
2016-11-10,70.62,72.62,69.73,71.5,219013
2016-11-11,71.58,72.89,71.48,72.8,243035
2016-11-14,72.89,76.55,72.86,76.05,241728
2016-11-15,75.75,75.86,73.19,73.66,166633
2016-11-16,71.03,71.87,67.6,69.55,323846
2016-11-17,69.66,72.61,69.37,71.12,286206
2016-11-18,71.45,71.57,69.89,70.83,333410
2016-11-21,71.21,72.3,70.73,71.66,100775
2016-11-22,71.38,72.68,71.34,72.53,102276
2016-11-23,72.03,73.43,71.91,73.2,138121
2016-11-25,73.2,73.89,73.06,73.54,44223
2016-11-28,74.61,74.96,72.95,74.78,188701
2016-11-29,74.94,77.14,74.19,75.63,410415
2016-11-30,76.12,76.78,73.92,74.32,128577
2016-12-01,74.79,75.4,72.35,73.02,97448
2016-12-02,73.25,74.76,72.13,72.72,88912
2016-12-05,73.63,74.09,73.25,74.04,109012
2016-12-06,74.09,74.68,73.64,74.59,125369
2016-12-07,74.43,74.84,73.53,74.83,90203
2016-12-08,75.23,76.89,74.72,76.86,89504
2016-12-09,77.0,77.0,75.76,76.74,73484
2016-12-12,76.18,76.71,75.22,76.28,59381
2016-12-13,76.6,77.3,75.14,76.04,86519
2016-12-14,76.01,77.12,75.32,75.59,90608
2016-12-15,75.66,77.81,75.6,77.46,139063
2016-12-16,77.31,78.35,76.22,76.79,470042
2016-12-19,77.44,77.98,75.88,76.37,102019
2016-12-20,77.27,77.93,76.5,77.25,153690
2016-12-21,76.94,77.06,76.12,76.5,62717
2016-12-22,76.58,76.58,75.2,75.39,46802
2016-12-23,75.66,76.86,74.24,76.49,57033
2016-12-27,76.5,77.63,75.35,77.23,48204
2016-12-28,77.44,77.6,75.5,75.64,46422
2016-12-29,75.87,77.56,75.48,77.12,76220
